District,Block,Panchyat,Code,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Balisankara,121521,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Bandega,121522,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Bandhabahal,121523,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Birkaldihi,121524,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Damkuda,121740,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Deobhubanpur,121525,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Deogaon,121741,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Jaisore,121743,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Jamuna,121744,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Karmabahal,121526,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Karumkel,121746,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Kinjirkela,121527,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Kiralaga,121747,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Kusummura,121528,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Lulukidihi,121529,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Rampur,121530,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Sagbahal,121531,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Saunamura,121532,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Subdega,121751,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Talsora,121533,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Tengargaon,121753,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Tildega,121534,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Tileikani,121535,,,,,,,,,,,,,,,,,
Sundargarh,BALISANKARA,Tumlia,121536,,,,,,,,,,,,,,,,,
Sundargarh,BARGAON,Barangakachhar,121537,,,,,,,,,,,,,,,,,
Sundargarh,BARGAON,Bargaon,121538,,,,,,,,,,,,,,,,,
Sundargarh,BARGAON,Bhoipali,121539,,,,,,,,,,,,,,,,,
Sundargarh,BARGAON,Dandajamira,121540,,,,,,,,,,,,,,,,,
Sundargarh,BARGAON,Ekma,121541,,,,,,,,,,,,,,,,,
Sundargarh,BARGAON,Fulbari,121542,,,,,,,,,,,,,,,,,
Sundargarh,BARGAON,Itma,121543,,,,,,,,,,,,,,,,,
